question,answer
"¿Qué métodos de pago aceptan?","Aceptamos efectivo o transferencia bancaria con un 20% de descuento, tarjeta de débito con un 10% de descuento, y tarjeta de crédito en hasta 3 cuotas sin interés."
"¿Realizan envíos a todo el país?","Sí, realizamos envíos a todo el país. El costo y tiempo de envío varía según la localidad."
"¿Cuánto tiempo tarda en llegar mi pedido?","Los pedidos suelen demorar entre 3 y 7 días hábiles en llegar, dependiendo de tu ubicación. Recibirás un código de seguimiento para poder ver el estado de tu envío."
"¿Puedo retirar mi compra personalmente?","¡Claro! Puedes retirar tu compra sin costo adicional por nuestro punto de retiro en Freyre, Córdoba. Al finalizar la compra, elige la opción ""Retiro"" y coordinaremos contigo."
"¿Los productos tienen garantía?","Sí, todos nuestros productos tienen una garantía de 30 días por defectos de fabricación. La garantía no cubre daños por mal uso."
"¿Cómo puedo realizar un cambio o devolución?","Para cambios o devoluciones, contáctanos dentro de los 10 días de haber recibido tu compra. El producto debe estar en su empaque original y sin signos de uso."
